script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades
ema-950-atr-full-terminal,moving_averages,OK,3,2,0.0,-6.222962731873544,2.3622765624093005,-8.585239294282845,-3.8606861694642434,-1.4731889673195515,0.32676222548694067,0.0,0.09999999999999999,0,-8.585239294282845,1,0,0,-3.8606861694642434,1
ema-atr-pro-ultimate-engine,moving_averages,OK,3,2,0.3333333333333333,-0.36887412276133524,3.043988221123844,-3.412862343885179,2.6751140983625086,-0.15864896792357092,0.7636676944233958,66.66666666666666,0.21666666666666665,0,-3.412862343885179,3,10.108844603447055,0,2.6751140983625086,1
ema-cloud-alerts,moving_averages,OK,3,2,0.0,-2.489315540160896,0.8732137295206337,-3.36252926968153,-1.6161018106402625,-0.7204298423711044,0.19741415418751496,25.0,0.09999999999999999,0,-3.36252926968153,3,0,0,-1.6161018106402625,2
ema-cloud-orb-dash,moving_averages,OK,3,2,0.0,-2.811699474860718,0.7662206508479943,-3.577920125708712,-2.0454788240127235,-0.8458054372981227,0.18608948314107893,25.0,0.09999999999999999,0,-3.577920125708712,2,0,0,-2.0454788240127235,2
ema-clouds-jb-style,moving_averages,OK,3,3,0.3333333333333333,-2.397223242615704,3.768606144218982,-6.790828552909632,2.4121954747159324,-1.2314262646878122,2.2023692247994173,33.333333333333336,0.26666666666666666,0,-6.790828552909632,2,2.4121954747159324,1,-2.813036649653412,1
ema-cluster-absorption,moving_averages,OK,3,1,0.0,-1.5835073807846056,0,-1.5835073807846056,-1.5835073807846056,-1.7759661385052876,0,0.0,0.049999999999999996,0,-1.5835073807846056,1,0,0,1.3495965863037127,0
ema-cross-alert-821-by-tjoma,moving_averages,OK,3,2,0.0,-3.714847949647723,1.272745598899113,-4.987593548546836,-2.44210235074861,-1.1026859457853386,0.3298088425982447,16.666666666666664,0.09999999999999999,0,-4.987593548546836,3,0,0,-2.44210235074861,3
ema-cross-bb-20-sma-strategy,moving_averages,OK,3,2,0.0,-2.5637299408335092,0.5848766683239663,-3.1486066091574756,-1.978853272509543,-0.8146277697509959,0.26390658854458715,16.666666666666664,0.09999999999999999,0,-1.978853272509543,2,0,0,-3.1486066091574756,3
ema-crossing-first-order-appearance,moving_averages,OK,3,2,0.0,-2.344794446929416,2.192363787897149,-4.537158234826565,-0.1524306590322667,-0.39986202944375887,0.3693269465823691,25.0,0.09999999999999999,0,-4.537158234826565,2,11.84005397674226,0,-0.1524306590322667,1
ema-multi-tf-strategy-red-filter,moving_averages,OK,3,2,0.0,-6.048733204983925,1.0640162421644566,-7.112749447148381,-4.984716962819468,-1.721088999192422,0.34462606326928513,10.0,0.09999999999999999,0,-4.984716962819468,3,25.097583738929472,0,-7.112749447148381,5
ema-pro-swing-structure-entry,moving_averages,OK,3,2,0.0,-7.407681635101872,2.347293219255509,-9.75497485435738,-5.060388415846362,-1.9027640392851133,0.49503686469191044,0.0,0.09999999999999999,0,-9.75497485435738,1,10.108844603447055,0,-5.060388415846362,1
ema-sniper-pro-quantscript,moving_averages,OK,3,2,0.6666666666666666,1.5427919927018374,0.7654278272030641,0.7773641654987732,2.3082198199049015,0.5660170048919657,0.27417760972243327,100.0,0.5225028908662341,0,2.3082198199049015,1,0,0,0.7773641654987732,1
ema-wave-rider-beginner-edition,moving_averages,OK,3,2,0.0,-4.068545358652067,3.8045761544063352,-7.873121513058402,-0.2639692042457318,-0.9687564363357943,0.8925362325906673,0.0,0.09999999999999999,0,-0.2639692042457318,1,5.237051497884386,0,-7.873121513058402,2
ema-xpair-crlmx,moving_averages,OK,3,2,0.0,-3.875363688556143,1.433261337807533,-5.308625026363676,-2.44210235074861,-1.140053010627199,0.3671759074401054,16.666666666666664,0.09999999999999999,0,-5.308625026363676,3,0,0,-2.44210235074861,3
ema20-strong-touch-markervt,moving_averages,OK,3,3,0.6666666666666666,1.2510026519962898,3.028857981453742,-3.028020655903223,3.559157881464329,0.05602032463739796,0.7075072563982495,75.55555555555556,0.4627115324937524,0,3.559157881464329,5,-3.028020655903223,1,3.221870730427763,3
ematema-crossover,moving_averages,OK,3,1,0.0,-0.4231511416303838,0,-0.4231511416303838,-0.4231511416303838,-1.8900050038214353,0,0.0,0.049999999999999996,0,-0.4231511416303838,1,0,0,0,0
fr0x-heikin-ashi-close-levels,moving_averages,OK,3,3,0.3333333333333333,-5.8964185187893365,11.266272165712982,-15.632975424528487,9.893990105610705,-1.2690354529133518,2.0414329382233958,35.14132925897632,0.26666666666666666,0,-15.632975424528487,22,9.893990105610705,14,-11.950270237450226,17
future-ema-projection,moving_averages,OK,3,2,0.6666666666666666,1.939321122385787,0.7059949154808492,1.2333262069049378,2.6453160378666363,0.38167198631538213,0.0760320115241106,0.0,0.5740219360642346,0,2.6453160378666363,2,0,0,1.2333262069049378,1
fx-correlation-matrix-pro-ema-trend,moving_averages,OK,3,2,0.0,-4.431351747380009,0.5562418011668269,-4.987593548546836,-3.875109946213182,-1.3358034477143157,0.09669134066926743,16.666666666666664,0.09999999999999999,0,-4.987593548546836,3,0,0,-3.875109946213182,3
genius-chart-structure,moving_averages,OK,3,2,0.3333333333333333,-1.82972426405835,1.8914501799405916,-3.7211744439989416,0.06172591588224168,-0.5074166857758571,0.5205694453978136,0.0,0.21666666666666665,0,0.06172591588224168,1,6.0103839091016855,0,-3.7211744439989416,3
globus-capitas-ema-9-ema-14-ribbon,moving_averages,OK,3,2,0.0,-3.077921271943989,0.7587414508493893,-3.8366627227933785,-2.3191798210946,-0.960444570672777,0.3090332064203468,10.0,0.09999999999999999,0,-2.3191798210946,2,22.7553811646939,0,-3.8366627227933785,5
goat-trap-pinbar,moving_averages,OK,3,3,0.6666666666666666,-2.083044657461995,5.864844788230288,-10.346935210705313,2.6618372211503156,-0.7109140260288385,1.4264396849835201,42.38095238095238,0.3833333333333333,0,1.4359640171690118,6,-10.346935210705313,5,2.6618372211503156,7
goldencrossover-cp5394,moving_averages,OK,3,1,0.0,-2.596739715949341,0,-2.596739715949341,-2.596739715949341,-0.7283558718640284,0,50.0,0.049999999999999996,0,-4.892158346389667,0,0,0,-2.596739715949341,2
green-bull-strategy,moving_averages,OK,3,3,0.3333333333333333,-5.1134829687479115,13.1925594954095,-16.032373023821886,13.447443617520666,-1.1090295873829186,2.3665478408528213,12.037037037037038,0.26666666666666666,0,-16.032373023821886,9,13.447443617520666,4,-12.755519499942514,9
improved-mcginley-dynamic,moving_averages,OK,3,3,0.3333333333333333,0.20257852367446993,10.703240655644555,-9.116559582983479,15.191924414415785,-0.5030038617598014,1.9591347139186028,36.868686868686865,0.267679559285039,0,-5.467629260408896,9,15.191924414415785,4,-9.116559582983479,11
interactive-ta,moving_averages,OK,3,1,0.0,-8.417822328099165,0,-8.417822328099165,-8.417822328099165,-2.4696713237619017,0,0.0,0.049999999999999996,0,-8.417822328099165,4,2.77492523112295,0,-3.045839518263252,0
jan-buyrest-trend-following-pullback-with-momentum,moving_averages,OK,3,1,0.3333333333333333,0.1790746207315533,0,0.1790746207315533,0.1790746207315533,0.1588968037000477,0,100.0,0.4175620397703244,0,0,0,0.1790746207315533,2,0,0
jma-trend-bo,moving_averages,OK,3,2,0.3333333333333333,0.38338718304617214,1.8746420089886524,-1.4912548259424803,2.2580291920348246,0.10211229573671571,0.3426418498134154,50.0,0.3829231401285436,0,-1.4912548259424803,6,12.485880933617299,0,2.2580291920348246,8
jrr-ultimate-ma-mtf-v6,moving_averages,OK,3,3,0.3333333333333333,-1.243930203969202,5.730262073889841,-8.264340616659158,5.771875290662545,0.11244190832603602,1.572980043414032,52.22222222222222,0.26666666666666666,0,-1.2393252859109927,6,5.771875290662545,1,-8.264340616659158,5
kripto-fema-ema-9,moving_averages,OK,3,3,0.3333333333333333,0.7587962335716828,9.78909424184077,-7.304746675791801,14.536028473926956,-0.36246855332863853,2.0760618557543435,44.642857142857146,0.27046064783452506,0,-7.304746675791801,14,14.536028473926956,8,-4.954893097420107,10
m-htf-candle-body-momentum-ukutalabs,moving_averages,OK,3,3,0.3333333333333333,-2.0383902052437577,2.1364009702552744,-4.123784581191169,0.8976271831019549,-0.5610376810406624,0.6509903529894729,48.148148148148145,0.26666666666666666,0,-2.8890132176420593,9,-4.123784581191169,3,0.8976271831019549,9
ma-bb-levels-st,moving_averages,OK,3,2,0.0,-0.9042905028627501,0.2248925402936075,-1.1291830431563576,-0.6793979625691426,-0.4184015653360833,0.10582688878377364,49.99999999999999,0.09999999999999999,0,-0.6793979625691426,3,0,0,-1.1291830431563576,3
ma-cross-with-labels,moving_averages,OK,3,2,0.3333333333333333,-3.8092295847270576,5.422955141281694,-9.232184726008752,1.6137255565546367,-0.6479897328930283,0.9316884899471122,35.0,0.21666666666666665,0,-9.232184726008752,5,0,0,1.6137255565546367,8
macd-renko-locked-signals,moving_averages,OK,3,3,0.3333333333333333,-7.35346723786419,6.815366239401301,-15.094972326769582,1.4897745911013918,-2.1343023990081513,2.016331359958044,22.61904761904762,0.26666666666666666,0,1.4897745911013918,7,-15.094972326769582,8,-8.455203977924379,9
macd-sell-exit-signals,moving_averages,OK,3,3,0.3333333333333333,-0.24654342348023786,0.4808067351917633,-0.8951267530929328,0.25457421034657457,-0.41112661803489675,0.8503222710967313,27.777777777777775,0.26666666666666666,0,-0.8951267530929328,2,0.25457421034657457,4,-0.09907772769435542,3
momentum-confluence-system,moving_averages,OK,3,1,0.3333333333333333,0.41872822826857736,0,0.41872822826857736,0.41872822826857736,0.12625338849608478,0,50.0,0.4187603078080095,0,0,0,0,0,0.41872822826857736,2
