script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades,w3_roi,w3_trades,w4_roi,w4_trades
kty-auto-support-resistance,trend_analysis,OK,5,4,0.2,-13.92894093945311,17.10880595967515,-31.605548679687516,11.972741468750012,-2.324466838104653,2.128251115048273,29.416666666666664,0.19,0,-26.80673428906243,25,11.972741468750012,5,-9.276222257812508,4,-8.509022828125001,0,-31.605548679687516,6
linear-regression-projection-channel-congtrader,trend_analysis,OK,5,2,0.2,-10.378370228515573,14.061170861328078,-24.43954108984365,3.6828006328125045,-1.8694976072557166,2.099524586954128,45.625,0.13,0,-24.43954108984365,80,3.6828006328125045,18,0,0,0,0,0,0
liquidities-pivot-levels,trend_analysis,OK,5,3,0.6,41.70895252213541,38.09828464432389,14.12351639062501,95.58285974609372,2.02058427890918,0.5956146135180087,82.14285714285715,0.6096411092311748,0,95.58285974609372,12,14.12351639062501,6,0,0,0,0,15.420481429687497,7
liquidity-precision-overlay,trend_analysis,OK,5,3,0.4,-0.28084557031249285,3.580155111740397,-5.286594289062487,2.8801516953124957,-0.09520577589410661,0.7112248592967362,46.666666666666664,0.22999999999999998,0,-5.286594289062487,5,1.5639058828125125,2,2.8801516953124957,2,0,0,-1.1038454921874945,0
liquidity-structure-mapper-joat,trend_analysis,OK,5,4,0.6,-1.658380452148445,17.02268993572645,-30.21899980859374,13.615445468749954,-1.0553959142097327,2.929280526620299,37.5,0.32999999999999996,0,-30.21899980859374,1,13.615445468749954,5,1.682008968750015,2,0,0,8.28802356249999,1
liquidity-trail-signals-boswaves,trend_analysis,OK,5,3,0.4,4.423533223958336,13.443446867418668,-11.827080382812506,21.09445665625001,-0.5137698007783912,2.2034658160447718,16.666666666666668,0.2521176661197917,0,21.09445665625001,1,-11.827080382812506,1,0,0,0,0,4.003223398437505,2
lumina-trend-channels-pineify,trend_analysis,OK,5,4,0.6,15.091135749023447,13.368590601567568,-6.044733937500001,27.193443925781263,0.8814832439474372,1.2323713442404998,62.5,0.40545567874511723,0,27.193443925781263,2,13.248537945312522,2,25.967295062499996,2,0,0,-6.044733937500001,1
lw-volatility-breakout-confirmed,trend_analysis,OK,5,1,0.2,15.828774382812494,0,15.828774382812494,15.828774382812494,1.8212739492369254,0,100.0,0.42914387191406245,0,15.828774382812494,1,4.3830564218749934,0,0,0,0,0,0,0
machine-learning-psar-boswaves,trend_analysis,OK,5,2,0.0,-9.6634660859375,3.3737922343750113,-13.037258320312512,-6.2896738515624895,-1.8501615446821749,0.8728957875434323,0.0,0.06,0,23.082454722656255,0,-6.2896738515624895,1,30.758603124999993,0,0,0,-13.037258320312512,1
market-structure-zone-goldplusinfinity,trend_analysis,OK,5,4,0.2,5.134023577148433,16.44943034824663,-9.236762519531258,33.0877884609375,0.12745847168670085,2.1953656841495146,42.42424242424242,0.21567011788574214,0,33.0877884609375,10,-2.6952313359375113,9,0,0,-0.6197002968750022,1,-9.236762519531258,11
matrix-supply-demand-zones-matrix-trading-lab,trend_analysis,OK,5,1,0.2,10.45871436718751,0,10.45871436718751,10.45871436718751,0.8515228004112527,0,50.0,0.4022935718359375,0,0,0,10.45871436718751,30,0,0,0,0,0,0
mesa-adaptive-cycle-engine-markittick,trend_analysis,OK,5,4,0.4,5.800841712890622,16.272431247622883,-13.410577234374971,28.20552088281249,0.15289172281230354,1.6575724441346371,37.5,0.2890042085644531,0,13.770332882812495,8,-13.410577234374971,8,28.20552088281249,4,0.6770916093749983,0,-5.361909679687524,8
minimalist-institutional-levels-logic-corrected,trend_analysis,OK,5,1,0.0,-11.106991335937506,0,-11.106991335937506,-11.106991335937506,-0.9326350951637058,0,0.0,0.03,0,0,0,0,0,0,0,0,0,-11.106991335937506,1
monotonicity-index-luxalgo,trend_analysis,OK,5,4,0.6,4.50626009765625,12.059464769420421,-16.053895000000004,14.16676121874999,0.4504562754566893,1.4318894845578678,68.75,0.35253130048828124,0,11.727565867187499,4,8.184608304687515,4,14.16676121874999,1,-8.509022828125001,0,-16.053895000000004,2
mtf-fractal-model,trend_analysis,OK,5,5,0.6,-4.770753098437517,15.546542795221486,-33.19527710156253,10.117668804687506,-1.0185436435533721,2.07875618620277,59.96645999671248,0.36,0,-33.19527710156253,57,7.185850335937459,46,-8.143245898437513,14,0.18123836718749953,7,10.117668804687506,59
mtf-swing-point-trend-lines,trend_analysis,OK,5,1,0.0,-27.810933929687543,0,-27.810933929687543,-27.810933929687543,-5.554795132390487,0,40.909090909090914,0.03,0,-27.810933929687543,22,0,0,0,0,0,0,-3.9940218437500006,0
multi-coin-rsi-alert-system,trend_analysis,OK,5,1,0.2,16.320376515625,0,16.320376515625,16.320376515625,1.9249611501549875,0,100.0,0.43160188257812504,0,0,0,0.006259078125003725,0,16.320376515625,1,-3.229514218750002,0,-11.785774562499995,0
multi-timeframe-volume-profile-tool-by-onlywicks,trend_analysis,OK,5,4,0.2,-13.67988728906251,14.385974034624718,-36.27176121874995,1.642527570312479,-2.0486519349360526,2.521441168280568,48.73386394234577,0.19,0,-36.27176121874995,46,-4.742643570312532,6,1.642527570312479,9,0,0,-15.34767193750004,61
natural-visibility-graph-ualgo,trend_analysis,OK,5,4,0.2,-9.583909747070308,21.695690050608054,-32.54809627343752,25.959389539062528,-2.0128119120565007,2.127353041139906,34.404761904761905,0.19,0,-18.42443076953123,10,25.959389539062528,6,-13.32250148437501,3,6.101713937499997,0,-32.54809627343752,7
navi-by-ravi-devraj-saxena-gold-rr-13,trend_analysis,OK,5,5,0.4,-10.452311156250005,11.907983635081413,-29.772531078125002,2.4962017656249955,-1.9966291048433895,2.345501494382893,44.773109243697476,0.29,0,-10.742485445312502,10,-15.659255328125015,7,1.416514304687502,5,2.4962017656249955,4,-29.772531078125002,17
neural-ribbon,trend_analysis,OK,5,4,0.4,-1.9225402636718902,12.70807307677096,-20.672291570312563,12.317173968750037,-0.21591445575546087,1.5167105388185793,51.79779411764706,0.26,0,12.317173968750037,16,-6.05061003125002,17,0,0,6.715566578124984,4,-20.672291570312563,25
nexus-structure-detector-joat,trend_analysis,OK,5,2,0.2,1.1668800078124986,1.4700550078125014,-0.3031750000000029,2.636935015625,0.31303077423009296,0.3517727796480171,75.0,0.2978912051270582,0,0,0,-0.3031750000000029,2,0,0,0,0,2.636935015625,1
nifty-market-pressure-dashboard-pro,trend_analysis,OK,5,4,0.2,-11.612886554687503,17.15053725635368,-38.36585989062498,9.002560585937463,-3.1641386945791314,2.9649450677209184,33.48306544202066,0.19,0,-38.36585989062498,65,-5.6277167890625135,8,-11.460530124999975,3,0,0,9.002560585937463,67
omarnowick,trend_analysis,OK,5,1,0.0,-3.5512307968749957,0,-3.5512307968749957,-3.5512307968749957,-2.5791257278025386,0,0.0,0.03,0,0,0,-1.5311094296874943,0,0,0,0.08251721093749802,0,-3.5512307968749957,1
parkinson-supertrend-charonquant,trend_analysis,OK,5,3,0.4,4.194580714843759,6.144395794260636,-3.1768244531249947,11.86490233984377,0.355131513963149,0.5025334699133499,27.777777777777775,0.3753395360958812,0,11.86490233984377,2,0,0,3.8956642578125025,2,0,0,-3.1768244531249947,3
phase-shift-mtf-ps-mtf-optimized-v2,trend_analysis,OK,5,4,0.4,2.718070403320315,10.640655129232847,-10.07057860937499,18.031553714843742,-0.4075818865226528,1.689141544663356,12.5,0.27359035201660153,0,18.031553714843742,3,-3.6263964062500014,2,6.537702914062509,2,0,0,-10.07057860937499,3
