script,category,status,num_windows,active_windows,profitable_ratio,avg_roi,roi_std,min_roi,max_roi,avg_sharpe,sharpe_std,avg_win_rate,consistency_score,orig_composite,w0_roi,w0_trades,w1_roi,w1_trades,w2_roi,w2_trades
start-grid-alert-by-deepsage,oscillators,OK,3,2,0.0,-1.546625685708721,0.12556596679983345,-1.6721916525085545,-1.4210597189088876,-0.6761746274989304,0.17484050165144033,8.333333333333332,0.09999999999999999,0,-1.4210597189088876,1,-1.6721916525085545,6,0,0
stochastic-momentum-index-smi-tr,oscillators,OK,3,1,0.0,-9.175480564411307,0,-9.175480564411307,-9.175480564411307,-5.461779451432415,0,26.31578947368421,0.049999999999999996,0,0,0,-9.175480564411307,19,0,0
super-stochasticbeyramazan,oscillators,OK,3,3,0.3333333333333333,-0.3541776998803547,7.630603400273737,-7.68022643606196,10.170764753900672,0.04664701923037836,1.4003631175891118,48.09941520467836,0.26666666666666666,0,-7.68022643606196,21,10.170764753900672,28,-3.5530714174797757,19
super-volumesv,oscillators,OK,3,3,0.0,-17.42609956438938,6.64519639807682,-26.475825011399166,-10.706970504764977,-3.9049179778927123,2.938944533798327,38.89486844966297,0.15,0,-15.095503177003994,84,-26.475825011399166,73,-10.706970504764977,80
swing-level-z-score-oscillator,oscillators,OK,3,2,0.3333333333333333,-0.44887748322525267,4.6149192839850155,-5.063796767210268,4.166041800759762,-0.4996100064086573,1.0598171606908138,35.0,0.21666666666666665,0,4.166041800759762,2,0,0,-5.063796767210268,5
trend-indicatorbeyramazan,oscillators,OK,3,3,0.3333333333333333,-7.491023097912097,7.74847275365133,-14.391878053002467,3.331099957159269,-1.5538927597599754,1.9344628097596723,30.555555555555554,0.26666666666666666,0,-14.391878053002467,8,3.331099957159269,3,-11.412291197893094,8
typical-price-bias,oscillators,OK,3,3,0.3333333333333333,-2.787951752875408,9.216068973202743,-12.516322405861443,9.58775767374772,-0.5104399909509546,2.2684556384798005,32.870370370370374,0.26666666666666666,0,-5.435290526512501,8,9.58775767374772,2,-12.516322405861443,9
viprasol-sniper-confluence-entryexit,oscillators,OK,3,2,0.0,-5.436060177298023,0.06954175894799874,-5.505601936246022,-5.366518418350024,-1.1443071068642454,0.22053016284343602,20.0,0.09999999999999999,0,-5.366518418350024,5,0,0,-5.505601936246022,5
volume-conviction-index-v10,oscillators,OK,3,3,0.3333333333333333,-1.1537634573255393,1.921167810992921,-3.4753577278303416,1.229317879478389,-0.12207632451111967,0.6129327394377255,48.888888888888886,0.26666666666666666,0,-3.4753577278303416,3,1.229317879478389,5,-1.2152505236246651,6
volume-regime-shift-tpsl,oscillators,OK,3,1,0.0,-6.176462265840572,0,-6.176462265840572,-6.176462265840572,-2.649439507460688,0,0.0,0.049999999999999996,0,-6.176462265840572,1,0,0,0,0
volume-shift-money-flow-vsmf,oscillators,OK,3,3,0.3333333333333333,-4.441397724862177,5.970407464236878,-8.828323764573607,3.999849532233129,-1.2359847953414347,1.7046193314364428,46.031746031746025,0.26666666666666666,0,-8.49571894224605,7,3.999849532233129,3,-8.828323764573607,7
vvei-regression-residuals,oscillators,OK,3,3,0.0,-3.7387805802225,4.673603992075654,-10.341495211995586,-0.1786163273241691,-1.066133780432936,1.2720468890893368,16.666666666666668,0.15,0,-10.341495211995586,1,-0.6962302013477456,1,-0.1786163273241691,2
xagusdt-smackdown-detector,oscillators,OK,3,1,0.0,-0.24074867964323493,0,-0.24074867964323493,-0.24074867964323493,-0.19261389560452066,0,50.0,0.049999999999999996,0,0,0,-0.24074867964323493,4,0,0
zion-trend-strike-wjdtks255,oscillators,OK,3,3,0.3333333333333333,1.1187340759768551,10.460915741562532,-7.2726892490138555,15.86594554483659,-0.19382671004518168,2.069168740514705,8.333333333333334,0.27226033704655095,0,-5.237054067892168,4,15.86594554483659,1,-7.2726892490138555,5
assistant,popular,OK,3,3,0.6666666666666666,4.32622316713072,10.432558875049105,-9.613752809564307,15.481331147655627,0.4601692384225738,1.5717785609427093,55.45125164690382,0.4049644491689869,0,15.481331147655627,22,7.111091163300837,23,-9.613752809564307,24
dynamic-extreme-channels-reversals-luxalgo,popular,OK,3,3,0.3333333333333333,1.096810293570157,11.871293525872627,-10.273865545608684,17.47898013604095,-0.22087863015456746,1.6275203009245023,13.888888888888888,0.2721507181345174,0,-3.914683709721794,4,17.47898013604095,1,-10.273865545608684,6
internal-vs-external-liquidity-zones-alpha-extract,popular,OK,3,3,0.3333333333333333,-2.9407652947350145,3.59494790675974,-7.990601703562512,0.093897808166701,-0.8946542084052772,1.1443452290708196,36.613756613756614,0.26666666666666666,0,-0.9255919888092321,5,0.093897808166701,9,-7.990601703562512,7
lfwd-watermark-checklist,popular,OK,3,2,0.0,-2.5535133121330658,1.9792681821620282,-4.532781494295094,-0.5742451299710374,-0.5592535863881314,0.4612772775196048,33.33333333333333,0.09999999999999999,0,-0.5742451299710374,3,3.3435555935640586,0,-4.532781494295094,3
swing-highlow-wick-zones-support-resistance-indicator,popular,OK,3,3,1.0,19.60709453371928,6.538135142744301,14.3237601047934,28.82033687909847,3.5767184091994473,0.11424611969011392,95.23809523809524,0.8194739427460679,0,28.82033687909847,6,14.3237601047934,3,15.677186617265978,7
3-level-zig-zag,trend_analysis,OK,3,3,0.3333333333333333,-6.092248943268166,9.219767848941904,-18.59794823024563,3.3561902843728753,-1.2911388193622675,1.8939736417376363,35.10019392372333,0.26666666666666666,0,-3.0349888839317427,17,-18.59794823024563,13,3.3561902843728753,14
a-l-p-h-a-x-fair-value-gap-fvg-tracker,trend_analysis,OK,3,2,0.6666666666666666,10.616877791036442,6.677352472310419,3.939525318726024,17.29423026334686,1.3298220532755682,0.9449002592514699,70.83333333333333,0.40019265747564803,0,3.939525318726024,3,17.29423026334686,4,5.303589962451311,0
adaptive-supertrend-excavo,trend_analysis,OK,3,3,0.3333333333333333,-2.463208466625811,4.998990822933607,-7.722099516817907,4.258047484591996,-0.6377408780525738,0.828685685253111,0.0,0.26666666666666666,0,4.258047484591996,2,-3.9255733676515225,3,-7.722099516817907,4
adaptive-supertrend-mab,trend_analysis,OK,3,2,0.3333333333333333,-1.8615083144078017,2.8348910930714117,-4.6963994074792135,0.9733827786636102,-0.3232499101974601,0.6807270282222727,25.0,0.21666666666666665,0,-4.6963994074792135,2,5.741224265439727,0,0.9733827786636102,1
adaptive-trend-sabre-boswaves,trend_analysis,OK,3,1,0.0,-6.565679263030906,0,-6.565679263030906,-6.565679263030906,-1.8064685806147607,0,0.0,0.049999999999999996,0,-6.565679263030906,1,7.140867098024217,0,0,0
ag-pro-auto-trendlines-mtf-breakretest-community-os,trend_analysis,OK,3,3,0.6666666666666666,2.1877802675829443,7.004778661254323,-7.718386936381721,7.176565901258465,-0.3834860626899492,1.694998172742246,26.746031746031747,0.39427223467124806,0,7.105161837872089,15,-7.718386936381721,12,7.176565901258465,7
ag-pro-swap-engine-pair-rotation-z-score,trend_analysis,OK,3,1,0.0,-9.001232805589272,0,-9.001232805589272,-9.001232805589272,-2.7878363892373055,0,16.666666666666664,0.049999999999999996,0,0,0,-9.001232805589272,6,0,0
